bucket,sex,race,overall,position,letter,count
55-64,f,UNKRACE,0,8,U,6
55-64,f,UNKRACE,0,8,E,8
55-64,f,UNKRACE,0,8,A,4
55-64,f,UNKRACE,0,8,R,2
55-64,f,UNKRACE,0,8,N,7
55-64,f,UNKRACE,0,8,B,3
55-64,f,UNKRACE,0,8,P,2
55-64,f,UNKRACE,0,8,C,3
55-64,f,UNKRACE,0,8,D,2
UNDER65,f,UNKRACE,0,1,C,771575
UNDER65,f,UNKRACE,0,1,N,378943
UNDER65,f,UNKRACE,0,1,E,100422
UNDER65,f,UNKRACE,0,1,T,109930
UNDER65,f,UNKRACE,0,1,U,22055
UNDER65,f,UNKRACE,0,1,B,490796
UNDER65,f,UNKRACE,0,1,D,88303
UNDER65,f,UNKRACE,0,1,S,85698
UNDER65,f,UNKRACE,0,1,P,125270
UNDER65,f,UNKRACE,0,1,R,177763
UNDER65,f,UNKRACE,0,1,X,11603
UNDER65,f,UNKRACE,0,1,A,41630
UNDER65,f,UNKRACE,0,1,H,3530
UNDER65,f,UNKRACE,0,1,F,3624
UNDER65,f,UNKRACE,0,2,N,399727
UNDER65,f,UNKRACE,0,2,X,23140
UNDER65,f,UNKRACE,0,2,S,38531
UNDER65,f,UNKRACE,0,2,H,25519
UNDER65,f,UNKRACE,0,2,R,202927
UNDER65,f,UNKRACE,0,2,A,23755
UNDER65,f,UNKRACE,0,2,E,134806
UNDER65,f,UNKRACE,0,2,T,68099
UNDER65,f,UNKRACE,0,2,D,99308
UNDER65,f,UNKRACE,0,2,B,290557
UNDER65,f,UNKRACE,0,2,U,25277
UNDER65,f,UNKRACE,0,2,C,63804
UNDER65,f,UNKRACE,0,2,P,15443
UNDER65,f,UNKRACE,0,2,F,4664
UNDER65,f,UNKRACE,0,3,C,26543
UNDER65,f,UNKRACE,0,3,A,14374
UNDER65,f,UNKRACE,0,3,E,77730
UNDER65,f,UNKRACE,0,3,H,2751
UNDER65,f,UNKRACE,0,3,N,159997
UNDER65,f,UNKRACE,0,3,D,35371
UNDER65,f,UNKRACE,0,3,R,81600
UNDER65,f,UNKRACE,0,3,U,17050
UNDER65,f,UNKRACE,0,3,B,126545
UNDER65,f,UNKRACE,0,3,T,33261
UNDER65,f,UNKRACE,0,3,P,7629
UNDER65,f,UNKRACE,0,3,X,7006
UNDER65,f,UNKRACE,0,3,S,4907
UNDER65,f,UNKRACE,0,3,F,1932
UNDER65,f,UNKRACE,0,4,R,22436
UNDER65,f,UNKRACE,0,4,B,31261
UNDER65,f,UNKRACE,0,4,T,7210
UNDER65,f,UNKRACE,0,4,N,41050
UNDER65,f,UNKRACE,0,4,X,2489
UNDER65,f,UNKRACE,0,4,E,29784
UNDER65,f,UNKRACE,0,4,C,8025
UNDER65,f,UNKRACE,0,4,D,12793
UNDER65,f,UNKRACE,0,4,A,5944
UNDER65,f,UNKRACE,0,4,S,1329
UNDER65,f,UNKRACE,0,4,U,5765
UNDER65,f,UNKRACE,0,4,P,2949
UNDER65,f,UNKRACE,0,4,F,1279
UNDER65,f,UNKRACE,0,4,H,155
UNDER65,f,UNKRACE,0,5,R,4159
UNDER65,f,UNKRACE,0,5,B,5796
UNDER65,f,UNKRACE,0,5,D,3448
UNDER65,f,UNKRACE,0,5,T,1593
UNDER65,f,UNKRACE,0,5,E,6793
