scheme,bucket,sex,race,letter,weight
3,UNDER65,m,UNKRACE,D,182208.37936532067
3,UNDER65,m,UNKRACE,X,47253.1607142903
3,UNDER65,m,UNKRACE,P,177656.55357151138
3,UNDER65,m,UNKRACE,F,12727.767460319119
4,35-44,m,UNKRACE,C,45215.621875346274
4,35-44,m,UNKRACE,E,17584.57096694568
4,35-44,m,UNKRACE,N,80548.97039880433
4,35-44,m,UNKRACE,B,100906.78321633968
4,35-44,m,UNKRACE,S,49245.75182320008
4,35-44,m,UNKRACE,X,6396.941010785989
4,35-44,m,UNKRACE,A,16766.15803918573
4,35-44,m,UNKRACE,P,51245.38460702478
4,35-44,m,UNKRACE,U,7887.368258538046
4,35-44,m,UNKRACE,T,64294.81007133923
4,35-44,m,UNKRACE,D,20215.0386502427
4,35-44,m,UNKRACE,H,7386.3070318554255
4,35-44,m,UNKRACE,R,20187.841036582184
4,35-44,m,UNKRACE,F,1613.4530136530122
4,ALL,m,UNKRACE,C,2116251.789416632
4,ALL,m,UNKRACE,S,352904.652158434
4,ALL,m,UNKRACE,T,436302.95544251864
4,ALL,m,UNKRACE,N,2644636.9420974622
4,ALL,m,UNKRACE,R,1292731.4708710348
4,ALL,m,UNKRACE,B,3940562.802605218
4,ALL,m,UNKRACE,E,490493.10051276674
4,ALL,m,UNKRACE,D,372943.5288009241
4,ALL,m,UNKRACE,H,46765.87115289183
4,ALL,m,UNKRACE,A,122142.14060666104
4,ALL,m,UNKRACE,U,71819.75076673388
4,ALL,m,UNKRACE,X,68282.85727876227
4,ALL,m,UNKRACE,P,205514.1195048542
4,ALL,m,UNKRACE,F,40573.01893661312
4,UNDER65,m,UNKRACE,C,666014.0837673348
4,UNDER65,m,UNKRACE,E,161294.99227780226
4,UNDER65,m,UNKRACE,N,667983.216368442
4,UNDER65,m,UNKRACE,B,1014415.3728210153
4,UNDER65,m,UNKRACE,T,350761.2889881369
4,UNDER65,m,UNKRACE,H,44410.307014247024
4,UNDER65,m,UNKRACE,A,99022.19100314152
4,UNDER65,m,UNKRACE,S,261347.58002307278
4,UNDER65,m,UNKRACE,R,250238.88021185566
4,UNDER65,m,UNKRACE,U,40256.958851575015
4,UNDER65,m,UNKRACE,D,180985.26042981452
4,UNDER65,m,UNKRACE,X,38102.414252144816
4,UNDER65,m,UNKRACE,P,199264.68680409872
4,UNDER65,m,UNKRACE,F,10898.76718698021
1,75-84,m,UNKRACE,S,43049.0
1,75-84,m,UNKRACE,C,772268.0
1,75-84,m,UNKRACE,B,1135700.0
1,75-84,m,UNKRACE,D,78583.0
1,75-84,m,UNKRACE,N,581591.0
1,75-84,m,UNKRACE,R,432740.0
1,75-84,m,UNKRACE,E,112267.0
1,75-84,m,UNKRACE,A,8152.0
1,75-84,m,UNKRACE,T,27543.0
1,75-84,m,UNKRACE,U,7748.0
1,75-84,m,UNKRACE,X,13327.0
